,business_type,count
0,Restaurant,342
1,Hotel,100
2,Retail,10
3,Building Services,10
4,Catering,9
5,Realty,7
6,Commercial real estate company,3
7,Theater,3
8,Gym,2
9,Janitorial Services,2
10,Visual Effects and Post Production Services,2
11,"Developing private incubated brands across multiple categories of Health, Beauty, & Wellness, Fashion, and Home furnishing products.",2
12,Movie Theater,2
13,Auto Dealership,2
14,Media Company,2
15,Ophthalmologist/Optician,1
16,Operates online content and retail properties,1
17,Sporting Goods,1
18,Ticket Sales,1
19,Plumbing and Heating,1
20,-----,1
21,Digital Marketing,1
22,Members-only personal shopping and concierge service,1
23,A global defense technology leader,1
24,Internet Retail,1
25,Electric Company,1
26,Catering Staffing,1
27,Construction,1
28,Integrated Media Entertainment,1
29,Architecture Firm,1
30,Broth Shop,1
31,LawFirm,1
32,Attorney,1
33,Online Fitness,1
34,Law Firm,1
35,Hospitality,1
36,Production Company,1
37,Data Analytics Service Provider,1
38,Payroll & HR Services,1
39,Courier Service,1
40,Movie Theatre,1
41,Footwear,1
42,Community Working Space,1
43,"Designer, Distribution and Licensor of Apparel",1
44,Security System Installation,1
45,Food preparation and delivery services,1
46,Security Services,1
47,an American clothing brand and retailer,1
48,Airline,1
49,Social Club,1
50,Real Estate Manager and Developer,1
51,Executive Events Company,1
52,Health and fitness center,1
53,PR Consulting,1
54,Public relations,1
55,Real Estate,1
56,Airport Support,1
57,Employment Agency,1
58,Viacom operates as an entertainment media company that offers television programs and motion pictures.,1
59,Museum,1
60,Jewelry Sales,1
61,Retail Store,1
62,Travel and Tourism,1
63,Commercial Cleaning,1
64,Online Recommendations,1
65,Animal Wellness and Care,1
66,Footwear Retailer,1
67,"American premium channel owned by the Home Box Office, Inc.",1
68,Parking Service/Locations,1
69,Clothing Manufacturer,1
70,Interior designer,1
71,Denim Retailer,1
72,Production  Company,1
73,Programs for persons with development disabilities.,1
74,Music Venue,1
75,Auction House,1
76,Social services organization,1
77,Retail store,1
78,Commercial Real Estate Services,1
79,Cleaning Services,1
80,Software Company,1
81,Global tech media company,1
82,"Bedding, Bath, and window Manufacturing",1
83,Musical Instrument Rental,1
84,Transportation Company,1
85,Travel Agency,1
86,Airline Services,1
87,"New York City-based online monthly subscription service that sends its subscribers a box of four to five selected samples of makeup, or other beauty related products..",1
88,Event Company,1
89,Theatre Company,1
90,Interior Design,1
91,Consulting Group,1
92,Transportation,1
93,Grocery Store,1
94,Closets and Storage,1
95,Network Provider,1
96,Legal Services,1
97,Cosmetic Manufacturer,1
98,"Audio, Visual and Lighting",1
99,Providing investment management and research services,1
100,Coffee Shop,1
101,"Gem Research, Education, and Laboratory",1
102,Day Spa,1
103,Retail Corporate offices,1
104,Fitness Club,1
105,Providing temporary and long-term housing accommodations for relocated individuals and corporate officials,1
106,Labor Union,1
107,Wellness Center,1
108,Jewelry Store,1
109,Leading  healthcare improvement company,1
110,Healthcare,1
111,Portfolio Management,1
